"Country"	"Sector"
"XA101"	"Gondwana"	"Stringy"
"XA103"	"Amasia"	"Whimsical"
"XA105"	"Gondwana"	"Whimsical"
"XA107"	"Vaalbara"	"Greedy"
"XA108"	"Laurentia"	"Sickly"
"XA111"	"Baltica"	"Bustling"
"XA113"	"Amasia"	"Stringy"
"XA115"	"Pangaea"	"Whimsical"
"XA120"	"Laurentia"	"Whimsical"
"XA126"	"Pangaea"	"Whimsical"
"XA127"	"Gondwana"	"Bustling"
"XA128"	"Gondwana"	"Greedy"
"XA130"	"Rodinia"	"Bouncy"
"XA132"	"Rodinia"	"Greedy"
"XA141"	"Pangaea"	"Greedy"
"XA142"	"Rodinia"	"Geeky"
"XA144"	"Amasia"	"Sickly"
"XA146"	"Baltica"	"Whimsical"
"XA149"	"Baltica"	"Bouncy"
"XA150"	"Vaalbara"	"Stodgy"
"XA157"	"Pangaea"	"Stodgy"
"XA162"	"Amasia"	"Geeky"
"XA164"	"Vaalbara"	"Bouncy"
"XA165"	"Baltica"	"Bustling"
"XA169"	"Rodinia"	"Geeky"
"XA173"	"Baltica"	"Geeky"
"XA176"	"Rodinia"	"Bustling"
"XA179"	"Gondwana"	"Sickly"
"XA182"	"Pangaea"	"Whimsical"
"XA191"	"Pangaea"	"Sickly"
"XA193"	"Rodinia"	"Whimsical"
"XA195"	"Vaalbara"	"Geeky"
"XA197"	"Rodinia"	"Bustling"
"XA199"	"Pangaea"	"Greedy"
"XA200"	"Baltica"	"Whimsical"
"XA201"	"Pangaea"	"Whimsical"
"XA212"	"Amasia"	"Bustling"
"XA214"	"Baltica"	"Geeky"
"XA217"	"Amasia"	"Whimsical"
"XA221"	"Amasia"	"Geeky"
"XA227"	"Pangaea"	"Geeky"
"XA228"	"Amasia"	"Bustling"
"XA229"	"Laurentia"	"Whimsical"
"XA230"	"Pangaea"	"Bustling"
"XA231"	"Gondwana"	"Greedy"
"XA233"	"Gondwana"	"Bouncy"
"XA234"	"Baltica"	"Bustling"
"XA236"	"Amasia"	"Bustling"
"XA238"	"Vaalbara"	"Whimsical"
"XA240"	"Laurentia"	NA
"XA250"	"Amasia"	"Geeky"
"XA252"	"Vaalbara"	"Bustling"
"XA254"	"Rodinia"	"Whimsical"
"XA255"	"Vaalbara"	"Geeky"
"XA262"	"Gondwana"	"Geeky"
"XA263"	"Rodinia"	"Whimsical"
"XA267"	"Laurentia"	"Whimsical"
"XA268"	"Gondwana"	"Stringy"
"XA271"	"Amasia"	"Stodgy"
"XA272"	"Laurentia"	"Bustling"
"XA274"	"Amasia"	"Bouncy"
"XA276"	"Laurentia"	"Greedy"
"XA280"	"Baltica"	"Stodgy"
"XA281"	"Baltica"	"Stringy"
"XA283"	"Pangaea"	"Whimsical"
"XA287"	"Laurentia"	"Bustling"
"XA290"	"Amasia"	"Bouncy"
"XA294"	"Vaalbara"	"Bustling"
"XA298"	"Laurentia"	"Sickly"
"XA301"	"Pangaea"	"Bustling"
"XA302"	"Baltica"	"Whimsical"
"XA305"	"Vaalbara"	"Wordy"
"XA309"	"Amasia"	"Palpable"
"XA317"	"Rodinia"	"Stringy"
"XA319"	"Amasia"	"Bouncy"
"XA321"	"Gondwana"	"Geeky"
"XA322"	"Rodinia"	"Greedy"
"XA323"	"Vaalbara"	"Bustling"
"XA325"	"Rodinia"	"Bouncy"
"XA327"	"Laurentia"	"Geeky"
"XA330"	"Amasia"	"Bustling"
"XA331"	"Amasia"	"Geeky"
"XA333"	"Rodinia"	"Bustling"
"XA336"	"Rodinia"	"Bouncy"
"XA338"	"Baltica"	"Palpable"
"XA339"	"Pangaea"	"Geeky"
"XA342"	"Baltica"	"Whimsical"
"XA347"	"Baltica"	"Sickly"
"XA351"	"Gondwana"	"Stringy"
"XA352"	"Laurentia"	"Bouncy"
"XA353"	"Amasia"	"Whimsical"
"XA354"	"Rodinia"	"Sickly"
"XA357"	"Amasia"	"Stodgy"
"XA358"	"Vaalbara"	"Whimsical"
"XA363"	"Pangaea"	"Sickly"
"XA366"	"Amasia"	"Bustling"
"XA367"	"Baltica"	"Geeky"
"XA370"	"Gondwana"	"Stringy"
"XA373"	"Laurentia"	"Geeky"
"XA382"	"Laurentia"	"Whimsical"
"XA383"	"Rodinia"	"Stodgy"
"XA385"	"Amasia"	"Stodgy"
"XA386"	"Baltica"	"Wordy"
"XA387"	"Vaalbara"	"Sickly"
"XA390"	"Pangaea"	"Geeky"
"XA393"	"Rodinia"	"Bustling"
"XA397"	"Laurentia"	"Palpable"
"XA399"	"Laurentia"	"Palpable"
"XA400"	"Vaalbara"	"Whimsical"
"XA401"	"Gondwana"	"Greedy"
"XA405"	"Vaalbara"	"Stodgy"
"XA406"	"Baltica"	"Palpable"
"XA409"	"Pangaea"	"Palpable"
"XA410"	"Pangaea"	"Geeky"
"XA411"	"Laurentia"	"Bouncy"
"XA412"	"Amasia"	"Sickly"
"XA413"	"Amasia"	"Geeky"
"XA417"	"Pangaea"	"Stodgy"
"XA418"	"Laurentia"	"Geeky"
"XA420"	"Amasia"	"Stodgy"
"XA421"	"Pangaea"	"Geeky"
"XA424"	"Rodinia"	"Greedy"
"XA425"	"Baltica"	"Whimsical"
"XA435"	"Rodinia"	"Sickly"
"XA437"	"Amasia"	"Whimsical"
"XA439"	"Pangaea"	"Bustling"
"XA440"	"Rodinia"	"Greedy"
"XA442"	"Vaalbara"	"Bustling"
"XA444"	"Pangaea"	"Bustling"
"XA446"	"Vaalbara"	"Whimsical"
"XA448"	"Baltica"	"Bustling"
"XA452"	"Amasia"	"Stodgy"
"XA454"	"Vaalbara"	"Stringy"
"XA459"	"Baltica"	"Geeky"
"XA461"	"Vaalbara"	"Greedy"
"XA464"	"Vaalbara"	"Greedy"
"XA467"	"Pangaea"	"Geeky"
"XA468"	"Vaalbara"	"Whimsical"
"XA470"	"Baltica"	"Stringy"
"XA471"	"Pangaea"	"Geeky"
"XA475"	"Amasia"	"Geeky"
"XA479"	"Pangaea"	"Bustling"
"XA481"	"Vaalbara"	"Bouncy"
"XA482"	"Laurentia"	"Whimsical"
"XA484"	"Laurentia"	NA
"XA485"	"Vaalbara"	"Bustling"
"XA486"	"Baltica"	"Greedy"
"XA487"	"Pangaea"	"Palpable"
"XA489"	"Vaalbara"	"Greedy"
"XA492"	"Amasia"	"Bouncy"
"XA493"	"Gondwana"	"Whimsical"
"XA500"	"Gondwana"	"Stodgy"
"XA504"	"Laurentia"	"Geeky"
"XA506"	"Amasia"	"Bouncy"
"XA507"	"Gondwana"	"Geeky"
"XA509"	"Rodinia"	"Palpable"
